Timestamp,Your experience in the parking lot,Your experience in the dining area,Your experience with the waiter,How was the food,How is the price range
4/2/2023 19:49:53,Not bad,Table was not clean,Good person,Not so great,Not bad
4/2/2023 19:55:36,Good ,Good ,Excellent ,Average ,Average 
4/2/2023 19:56:25,Bad,Good ,Good ,Excellent ,High 
4/2/2023 20:00:28,Good,Not Good,Nice Person,Delicious,Normal
4/3/2023 9:27:50,Worst,Better,Not Bad,delicious,Average
4/3/2023 9:28:47,Good,Bad,Ok,Excellent,High
4/3/2023 9:30:37,Better,Fine,Bad,Ok,Good
4/3/2023 9:31:48,Bad,Not Good,Average,Average,Affordable
4/3/2023 9:33:08,Nice,Better,Ok,Best,Low
4/3/2023 9:35:28,Not Good,Good,Great,Bad,High
4/3/2023 9:36:56,Great,Not Bad,Not So Bad,Tasty,Average
4/3/2023 9:49:10,Not Bad,Unhygenic,Bad Person,Yummy,Medium
4/3/2023 9:52:33,Nice,Best,Good,Great,Ok
4/3/2023 9:54:10,Worst,Worst,Bad,Yuck,Average
4/3/2023 9:56:53,Not bad,Table was not clean,Good person,Not so great,Not bad
4/3/2023 9:57:36,Good ,Good ,Excellent ,Average ,Average 
4/3/2023 9:59:25,Bad,Good ,Good ,Excellent ,High 
4/3/2023 10:00:28,Good,Not Good,Nice Person,Delicious,Normal
4/3/2023 10:27:50,Worst,Better,Not Bad,delicious,Average
4/3/2023 10:28:47,Good,Bad,Ok,Excellent,High
4/3/2023 10:30:37,Better,Fine,Bad,Ok,Good
4/3/2023 10:31:48,Bad,Not Good,Average,Average,Affordable
4/3/2023 10:33:08,Nice,Better,Ok,Best,Low
4/3/2023 10:35:28,Not Good,Good,Great,Bad,High
4/3/2023 10:36:56,Great,Not Bad,Not So Bad,Tasty,Average
4/3/2023 10:49:10,Not Bad,Unhygenic,Bad Person,Yummy,Medium
4/3/2023 10:52:33,Nice,Best,Good,Great,Ok
4/3/2023 10:54:10,Worst,Worst,Bad,Yuck,Average
4/3/2023 10:56:10,Very Bad,Good,Great,Not Bad,Good
4/3/2023 10:58:53,Not bad,Table was not clean,Good person,Not so great,Not bad
4/3/2023 10:59:36,Good ,Good ,Excellent ,Average ,Average 
4/3/2023 11:00:25,Bad,Good ,Good ,Excellent ,High 
4/3/2023 11:15:28,Good,Not Good,Nice Person,Delicious,Normal
4/3/2023 11:27:50,Worst,Better,Not Bad,delicious,Average
4/3/2023 11:28:47,Good,Bad,Ok,Excellent,High
4/3/2023 11:30:37,Better,Fine,Bad,Ok,Good
4/3/2023 11:31:48,Bad,Not Good,Average,Average,Affordable
4/3/2023 11:33:08,Nice,Better,Ok,Best,Low
4/3/2023 11:35:28,Not Good,Good,Great,Bad,High
4/3/2023 11:36:56,Great,Not Bad,Not So Bad,Tasty,Average
4/3/2023 11:49:10,Not Bad,Unhygenic,Bad Person,Yummy,Medium
4/3/2023 11:52:33,Nice,Best,Good,Great,Ok
4/3/2023 11:54:10,Worst,Worst,Bad,Yuck,Average
4/3/2023 11:56:10,Very Bad,Good,Great,Not Bad,Good
4/3/2023 11:57:10,Very Bad,Good,Great,Not Bad,Good
4/3/2023 11:58:53,Not bad,Table was not clean,Good person,Not so great,Not bad
4/3/2023 11:59:36,Good ,Good ,Excellent ,Average ,Average 
4/3/2023 12:00:25,Bad,Good ,Good ,Excellent ,High 
4/3/2023 12:15:28,Good,Not Good,Nice Person,Delicious,Normal
4/3/2023 12:27:50,Worst,Better,Not Bad,delicious,Average
4/3/2023 12:28:47,Good,Bad,Ok,Excellent,High
4/3/2023 12:30:37,Better,Fine,Bad,Ok,Good
4/3/2023 12:31:48,Bad,Not Good,Average,Average,Affordable
4/3/2023 12:33:08,Nice,Better,Ok,Best,Low
4/3/2023 12:35:28,Not Good,Good,Great,Bad,High
4/3/2023 12:36:56,Great,Not Bad,Not So Bad,Tasty,Average
4/3/2023 12:49:10,Not Bad,Unhygenic,Bad Person,Yummy,Medium
4/3/2023 12:52:33,Nice,Best,Good,Great,Ok
4/3/2023 12:54:10,Worst,Worst,Bad,Yuck,Average
4/3/2023 12:56:10,Very Bad,Good,Great,Not Bad,Good
